# of Sims,Tickets lost in this million,Total tickets lost,rolling ticket loss average,Expected Value this million,rolling expected value
1000000,-1190021,-1190021,-1190021.0,-1.190021,-1.190021
2000000,-1190597,-2380618,-1190309.0,-1.190597,-1.190309
3000000,-1189490,-3570108,-1190036.0,-1.18949,-1.190036
4000000,-1187344,-4757452,-1189363.0,-1.187344,-1.189363
5000000,-1191605,-5949057,-1189811.4,-1.191605,-1.1898114
6000000,-1187385,-7136442,-1189407.0,-1.187385,-1.189407
7000000,-1188508,-8324950,-1189278.5714285714,-1.188508,-1.1892785714285714
8000000,-1190786,-9515736,-1189467.0,-1.190786,-1.189467
9000000,-1189510,-10705246,-1189471.7777777778,-1.18951,-1.1894717777777777
10000000,-1189060,-11894306,-1189430.6,-1.18906,-1.1894306
11000000,-1193102,-13087408,-1189764.3636363635,-1.193102,-1.1897643636363637
12000000,-1189763,-14277171,-1189764.25,-1.189763,-1.18976425
13000000,-1188231,-15465402,-1189646.3076923077,-1.188231,-1.1896463076923076
14000000,-1190479,-16655881,-1189705.7857142857,-1.190479,-1.1897057857142856
15000000,-1190195,-17846076,-1189738.4,-1.190195,-1.1897384
16000000,-1194587,-19040663,-1190041.4375,-1.194587,-1.1900414375
17000000,-1191280,-20231943,-1190114.294117647,-1.19128,-1.190114294117647
18000000,-1188475,-21420418,-1190023.2222222222,-1.188475,-1.1900232222222222
19000000,-1192888,-22613306,-1190174.0,-1.192888,-1.190174
20000000,-1189057,-23802363,-1190118.15,-1.189057,-1.19011815
21000000,-1189092,-24991455,-1190069.2857142857,-1.189092,-1.1900692857142856
22000000,-1189811,-26181266,-1190057.5454545454,-1.189811,-1.1900575454545455
23000000,-1192364,-27373630,-1190157.8260869565,-1.192364,-1.1901578260869565
24000000,-1194773,-28568403,-1190350.125,-1.194773,-1.190350125
25000000,-1189608,-29758011,-1190320.44,-1.189608,-1.19032044
26000000,-1188015,-30946026,-1190231.7692307692,-1.188015,-1.1902317692307691
27000000,-1188577,-32134603,-1190170.4814814816,-1.188577,-1.1901704814814815
28000000,-1191140,-33325743,-1190205.107142857,-1.19114,-1.1902051071428572
29000000,-1190144,-34515887,-1190203.0,-1.190144,-1.190203
30000000,-1190534,-35706421,-1190214.0333333334,-1.190534,-1.1902140333333333
31000000,-1186374,-36892795,-1190090.1612903227,-1.186374,-1.1900901612903225
32000000,-1190630,-38083425,-1190107.03125,-1.19063,-1.19010703125
33000000,-1189914,-39273339,-1190101.1818181819,-1.189914,-1.190101181818182
34000000,-1188604,-40461943,-1190057.1470588236,-1.188604,-1.1900571470588235
35000000,-1190126,-41652069,-1190059.1142857142,-1.190126,-1.1900591142857142
36000000,-1190655,-42842724,-1190075.6666666667,-1.190655,-1.1900756666666668
37000000,-1189805,-44032529,-1190068.3513513512,-1.189805,-1.1900683513513513
38000000,-1190214,-45222743,-1190072.1842105263,-1.190214,-1.1900721842105264
39000000,-1189250,-46411993,-1190051.1025641025,-1.18925,-1.1900511025641025
40000000,-1189214,-47601207,-1190030.175,-1.189214,-1.190030175
41000000,-1190478,-48791685,-1190041.0975609757,-1.190478,-1.1900410975609756
42000000,-1191456,-49983141,-1190074.7857142857,-1.191456,-1.1900747857142857
43000000,-1189377,-51172518,-1190058.558139535,-1.189377,-1.1900585581395349
44000000,-1191807,-52364325,-1190098.2954545454,-1.191807,-1.1900982954545454
45000000,-1190430,-53554755,-1190105.6666666667,-1.19043,-1.1901056666666667
46000000,-1188303,-54743058,-1190066.4782608696,-1.188303,-1.1900664782608696
