# of Sims,Tickets lost in this million,Total tickets lost,rolling ticket loss average,Expected Value this million,rolling expected value
1000000,-1193419,-1193419,-1193419.0,-2e-06,-1.193419
2000000,-1188816,-2382235,-1191117.5,-2e-06,-1.1911175
3000000,-1193473,-3575708,-1191902.6666666667,1e-06,-1.1919026666666668
4000000,-1191630,-4767338,-1191834.5,-2e-06,-1.1918345
5000000,-1190481,-5957819,-1191563.8,-2e-06,-1.1915638
6000000,-1188454,-7146273,-1191045.5,-2e-06,-1.1910455
7000000,-1188937,-8335210,-1190744.2857142857,-2e-06,-1.1907442857142858
8000000,-1187410,-9522620,-1190327.5,-2e-06,-1.1903275
9000000,-1190522,-10713142,-1190349.111111111,-2e-06,-1.190349111111111
10000000,-1189021,-11902163,-1190216.3,-2e-06,-1.1902163
11000000,-1190995,-13093158,-1190287.0909090908,-2e-06,-1.190287090909091
12000000,-1189460,-14282618,-1190218.1666666667,-2e-06,-1.1902181666666667
13000000,-1190759,-15473377,-1190259.7692307692,0.0,-1.1902597692307693
14000000,-1191759,-16665136,-1190366.857142857,-2e-06,-1.1903668571428572
15000000,-1189933,-17855069,-1190337.9333333333,-2e-06,-1.1903379333333333
16000000,-1187318,-19042387,-1190149.1875,-2e-06,-1.1901491875
17000000,-1187931,-20230318,-1190018.705882353,-2e-06,-1.190018705882353
18000000,-1188378,-21418696,-1189927.5555555555,0.0,-1.1899275555555555
19000000,-1189033,-22607729,-1189880.4736842106,-2e-06,-1.1898804736842106
20000000,-1188904,-23796633,-1189831.65,-2e-06,-1.18983165
21000000,-1189115,-24985748,-1189797.5238095238,0.0,-1.1897975238095237
22000000,-1189844,-26175592,-1189799.6363636365,-2e-06,-1.1897996363636363
23000000,-1189256,-27364848,-1189776.0,-2e-06,-1.189776
24000000,-1189227,-28554075,-1189753.125,-2e-06,-1.189753125
25000000,-1186748,-29740823,-1189632.92,-2e-06,-1.18963292
26000000,-1187712,-30928535,-1189559.0384615385,-2e-06,-1.1895590384615384
27000000,-1187238,-32115773,-1189473.0740740742,-2e-06,-1.189473074074074
28000000,-1188044,-33303817,-1189422.0357142857,-2e-06,-1.1894220357142857
29000000,-1192044,-34495861,-1189512.448275862,1e-06,-1.189512448275862
30000000,-1190700,-35686561,-1189552.0333333334,-2e-06,-1.1895520333333334
31000000,-1190336,-36876897,-1189577.322580645,-2e-06,-1.1895773225806452
32000000,-1189731,-38066628,-1189582.125,1e-06,-1.189582125
33000000,-1191293,-39257921,-1189633.9696969697,-2e-06,-1.1896339696969698
34000000,-1193916,-40451837,-1189759.9117647058,-2e-06,-1.189759911764706
35000000,-1190152,-41641989,-1189771.1142857142,-2e-06,-1.1897711142857144
36000000,-1191018,-42833007,-1189805.75,-2e-06,-1.18980575
37000000,-1189815,-44022822,-1189806.0,-2e-06,-1.189806
38000000,-1193566,-45216388,-1189904.9473684211,0.0,-1.1899049473684211
39000000,-1188794,-46405182,-1189876.4615384615,-2e-06,-1.1898764615384616
40000000,-1190596,-47595778,-1189894.45,-2e-06,-1.18989445
41000000,-1192547,-48788325,-1189959.1463414633,-2e-06,-1.1899591463414634
42000000,-1190520,-49978845,-1189972.5,-2e-06,-1.1899725
43000000,-1192419,-51171264,-1190029.3953488371,-2e-06,-1.1900293953488372
44000000,-1189617,-52360881,-1190020.0227272727,-2e-06,-1.1900200227272728
45000000,-1190362,-53551243,-1190027.6222222222,-2e-06,-1.1900276222222221
46000000,-1189956,-54741199,-1190026.0652173914,-2e-06,-1.1900260652173913
47000000,-1188984,-55930183,-1190003.8936170214,-2e-06,-1.1900038936170212
48000000,-1189766,-57119949,-1189998.9375,-2e-06,-1.1899989375
49000000,-1191334,-58311283,-1190026.1836734693,1e-06,-1.1900261836734694
50000000,-1189292,-59500575,-1190011.5,-2e-06,-1.1900115
51000000,-1191098,-60691673,-1190032.8039215687,0.0,-1.1900328039215686
52000000,-1188438,-61880111,-1190002.1346153845,-2e-06,-1.1900021346153846
53000000,-1189672,-63069783,-1189995.9056603773,2e-06,-1.1899959056603773
54000000,-1189808,-64259591,-1189992.4259259258,-2e-06,-1.189992425925926
55000000,-1191284,-65450875,-1190015.9090909092,-2e-06,-1.190015909090909
56000000,-1189740,-66640615,-1190010.982142857,1e-05,-1.190010982142857
57000000,-1191710,-67832325,-1190040.7894736843,-2e-06,-1.1900407894736842
58000000,-1185457,-69017782,-1189961.7586206896,-2e-06,-1.1899617586206896
59000000,-1193632,-70211414,-1190023.9661016949,-2e-06,-1.190023966101695
